UNITID,INSTNM,ADDR,CITY,STABBR.x,ZIP,SECTOR,ICLEVEL,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,DEATHYR,CYACTIVE,PSET4FLG,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12,ENRTOT,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON,GRRTTOT,GRRTM,GRRTW,GRRTAN,GRRTAP,GRRTAS,GRRTNH,GRRTBK,GRRTHS,GRRTWH,GRRT2M,GRRTUN,GRRTNR,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTAN,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTBK,GBA6RTHS,GBA6RTWH,GBA6RT2M,GBA6RTUN,GBA6RTNR,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM,TUFEYR0,TUFEYR1,TUFEYR2,TUFEYR3,CINDON,CINSON,COTSON,CINDOFF,CINSOFF,COTSOFF,CINDFAM,CINSFAM,COTSFAM,GRCOHRT,UGENTERN,PGRCOHRT,RET_PCF,RET_PCP,STUFACR,SCFA1N,SCFA11N,SCFA12N,SCFA13N,SCFA14N,SCFA2,SCFY1N,SCFY2,ANYAIDP,FGRNT_P,FGRNT_A,SGRNT_P,SGRNT_A,IGRNT_P,IGRNT_A,LOAN_P,LOAN_A,UAGRNTT,AGRNT_P,AGRNT_A,PGRNT_P,PGRNT_A,OFGRT_P,OFGRT_A,FLOAN_P,FLOAN_A,OLOAN_P,OLOAN_A,UAGRNTP,UAGRNTA,UPGRNTP,UPGRNTT,UPGRNTA,UFLOANP,UFLOANT,UFLOANA,AGRNT_T,FGRNT_T,PGRNT_T,OFGRT_T,SGRNT_T,IGRNT_T,LOAN_T,FLOAN_T,OLOAN_T,AIDFSIN,AIDFSIP,SCFY11N,SCFY11P,SCFY12N,SCFY12P,SCFY13N,SCFY13P,SCFY14N,SCFY14P,SCUGFFP,GRNTN2,GRNTON2,GRNTWF2,GRNTOF2,GRNTUN2,GRNTT2,GRNTA2,GRN4N2,GRN4ON2,GRN4WF2,GRN4OF2,GRN4UN2,GRN4T2,GRN4A2,GRN4N12,GRN4T12,GRN4A12,GRN4N22,GRN4T22,GRN4A22,GRN4N32,GRN4T32,GRN4A32,GRN4N42,GRN4T42,GRN4A42,GRN4N52,GRN4T52,GRN4A52,NPGRN2,GRN4G2,GRN4G12,GRN4G22,GRN4G32,GRN4G42,GRN4G52,IPEDS_LONGITUDE,IPEDS_LATITUDE,STABBR.y,mean_impervious
132338,The Art Institute of Fort Lauderdale,1799 SE 17th St,Fort Lauderdale,FL,33316-3000,3,1,1,2,30,1,2,-2,2,2,12,1,M,2018,1,2,56,2,1,1,Education Management Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.123514,26.101096,FL,70.65227273
132408,The Baptist College of Florida,5400 College Dr,Graceville,FL,32440,2,1,1,1,20,1,2,2,2,2,32,1,A,-2,1,1,51,2,1,2,-2,85,78,90,56,63,52,43,47,40,13,16,12,467,261,206,69,7,2,1,0,0,0,2,18,0,46,6,448,33,40,265,110,69,8,2,1,0,0,0,2,19,0,47,19,79,5,5,0,0,0,0,5,5,0,11,,,,,85,15,0,0,45,23,32,43,24,33,89,0,11,62,62,63,,,,,,,67,40,0,,,36,56,58,62,53,,,,,,,62,40,0,,,48,48,75,75,86,71,42751,47843,44470,38789,36225,,,89,37,0,0,3,0,9,0,0,0,0,40,6,1,27,6,0,10000,10800,11100,11400,19062,19062,19062,24470,24470,24470,14450,14450,14450,27,76,36,76,100,8,39,,,,,405,,,90,77,4926,51,5151,54,2438,38,5142,1831060,90,8628,77,4831,26,285,38,4675,3,7000,84,5401,62,1059645,4239,52,1146036,5431,301983,147767,144917,2850,103018,51198,77131,70131,7000,35,90,,,,,,,,,10,35,27,6,2,0,301983,8628,30,22,6,2,0,279039,9301,16,163983,10249,6,46880,7813,5,40697,8139,3,27479,9160,0,0,,9252,30,16,6,5,3,0,-85.503931,30.962708,FL,17.90929705
132471,Barry University,11300 NE 2nd Ave,Miami,FL,33161-6695,2,1,1,1,11,1,2,2,2,2,21,1,A,-2,1,1,21,2,3,2,-2,91,89,93,13,12,14,13,12,14,0,0,0,7186,5126,2060,24,29,29,4,4,0,0,2,5,6,66,18,3483,644,500,2224,115,17,32,34,1,1,0,0,2,5,8,61,3703,31,25,25,7,6,0,1,2,5,4,70,3,59,38,0,56,39,5,1,5,7,88,4,11,85,5,4,91,36,32,39,20,46,45,50,29,40,45,,33,50,43,19,34,36,32,39,20,46,45,50,29,40,45,,33,50,43,33,33,37,37,46,46,73986,95605,73700,64134,51345,,,1073,534,0,0,19,6,158,36,31,92,16,181,10,2,162,7,0,28800,28800,29850,30014,46898,46898,46898,49348,49348,49348,34448,34448,34448,639,1242,51,62,,12,604,,,,,3504,,,100,74,5999,54,4885,100,17233,69,6277,51178681,100,24286,71,4846,55,1777,69,5402,6,9654,81,18065,48,7760300,4595,56,15675235,7925,14620145,2675479,2083769,591710,1587714,10356952,2623745,2247250,376495,602,100,,,,,,,,,17,602,404,157,33,8,14620145,24286,510,351,136,23,0,13049422,25587,276,7553228,27367,110,2956144,26874,58,1381413,23817,37,722675,19532,29,435962,15033,19293,510,276,110,58,37,29,-80.198925,25.878908,FL,42.7918552
132602,Bethune-Cookman University,640 Dr Mary McLeod Bethune Blvd,Daytona Beach,FL,32114-3099,2,1,1,1,20,1,1,2,2,2,13,1,A,-2,1,1,32,2,2,2,-2,,,,,,,,,,,,,3773,3608,165,1,80,3,0,0,0,0,2,11,2,62,26,3620,939,83,2597,1,1,80,3,0,0,0,0,2,11,2,62,153,7,76,5,1,1,0,0,1,7,4,62,1,94,5,0,72,27,2,0,5,95,0,3,97,0,54,46,0,34,29,37,,50,50,,34,22,33,0,45,0,23,14,30,34,29,37,,50,50,,34,22,33,0,45,0,23,33,33,32,32,49,49,58757,72901,60137,60213,47938,,,568,200,0,0,12,24,51,40,18,92,0,131,47,0,78,0,6,14410,14410,14410,14814,29876,29876,29876,31464,31464,31464,20464,20464,20464,937,1022,92,65,60,17,1175,,,,,3992,,,99,83,5490,71,4417,88,5331,88,6805,42553272,99,12495,82,5301,46,369,88,6613,2,10820,91,11662,76,15475851,5131,82,23225149,7100,14544425,5336083,5136790,199293,3701304,5507038,7043055,6837481,205574,1167,99,,,,,,,,,29,1164,1112,6,44,2,14544425,12495,1117,1075,3,39,0,13901604,12445,648,8922083,13769,235,2997942,12757,121,1139154,9414,67,512859,7655,46,329566,7164,15309,1113,647,235,121,66,44,-81.032946,29.207195,FL,51.2015855
132657,Lynn University,3601 N. Military Trail,Boca Raton,FL,33431-5598,2,1,1,1,12,1,2,2,2,2,13,1,A,-2,1,1,21,2,2,2,-2,70,69,72,12,16,9,12,16,9,0,0,0,3093,2516,577,41,12,15,2,2,0,0,2,10,19,51,28,2232,640,153,1401,38,46,11,16,1,1,0,0,1,7,17,49,861,27,15,12,2,2,0,0,2,19,23,56,0,88,11,0,34,46,17,3,17,27,56,9,27,64,38,27,35,55,53,56,50,40,40,,53,58,49,100,59,65,,48,54,55,53,56,50,40,40,,53,58,49,100,59,65,,51,51,49,49,57,57,49377,62166,50054,43162,37844,,45313,621,155,0,0,8,80,58,31,28,72,5,184,86,2,78,11,7,35200,36650,37010,38210,56823,56823,56823,59280,59280,59280,46326,46326,46326,630,826,76,72,67,18,467,,,,,2182,,,94,23,5641,25,3887,92,12812,30,8830,27786870,94,15054,23,4905,9,1950,28,5256,13,8747,83,15276,24,2377029,4451,30,4093574,6317,6578551,597952,519952,78000,458666,5521933,1227374,693801,533573,438,94,,,,,,,,,21,437,367,47,23,0,6578551,15054,187,161,10,16,0,3333471,17826,58,1312742,22633,25,513462,20538,30,580168,19339,20,343023,17151,54,584076,10816,39401,186,58,25,30,20,53,-80.122806,26.385985,FL,38.53522727
132693,Eastern Florida State College,1519 Clearlake Rd,Cocoa,FL,32922,1,1,1,2,30,1,2,2,2,2,21,1,A,-2,1,1,40,2,4,2,-2,,,,,,,,,,,,,15820,5320,10500,64,11,14,3,3,0,0,5,2,1,60,8,15820,2308,594,9385,3533,64,11,14,3,3,0,0,5,2,1,60,0,,,,,,,,,,,,18,48,34,0,98,1,0,1,20,24,55,20,24,55,,,,47,43,51,80,61,62,57,32,38,50,50,35,57,9,,,,,,,,,,,,,,,,,39,,41,,57,,54258,68094,62692,51629,45059,,,1058,488,0,0,23,105,17,37,42,111,6,229,56,7,121,36,9,2496,2496,2496,2496,,,,14474,14474,21717,7506,7506,14749,1325,2917,45,,,17,1433,0,1366,67,0,15769,,,66,46,5280,46,1537,7,1469,21,4442,31071514,58,5562,46,5248,5,297,21,4384,0,4354,42,4672,37,23350775,3962,22,19913171,5703,4649578,3479210,3458110,21100,1022012,148356,1323745,1297623,26122,922,64,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.756474,28.38361,FL,54.31782066
132709,Broward College,111 East Las Olas Blvd,Fort Lauderdale,FL,33301,1,1,1,2,30,1,2,2,2,2,12,1,A,-2,1,1,40,2,5,2,-2,,,,,,,,,,,,,40784,11749,29035,17,31,37,4,3,0,0,3,4,5,60,8,40784,6777,1665,25788,6554,17,31,37,4,3,0,0,3,4,5,60,0,,,,,,,,,,,,10,56,33,0,100,0,0,0,13,17,70,13,17,70,,,,31,29,33,0,50,51,40,24,32,38,22,32,40,12,,,,,,,,,,,,,,,,,29,,26,,37,,61605,76623,64928,58731,58070,,,1890,761,0,0,21,275,158,62,127,67,0,419,93,5,263,58,0,2753,2753,2830,2830,,,,27994,27994,34116,13984,13984,20106,3341,9024,37,,,30,3298,0,3081,216,1,40754,,,74,64,4953,56,1414,6,1405,11,3439,91351291,72,5553,63,4909,3,1106,11,3243,0,9261,56,4023,50,64643480,3201,47,17705484,925,13265533,10376628,10280378,96250,2605100,283805,1234743,1151395,83348,2394,73,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.14183,26.119422,FL,78.09567198
132842,Carlos Albizu University-Miami,2173 N.W. 99th Avenue,Miami,FL,33172-2209,2,1,1,1,12,1,2,2,2,2,21,1,A,-2,1,1,59,2,1,2,-2,50,50,50,67,75,60,56,50,60,11,25,0,746,574,172,7,6,79,0,0,0,0,1,3,4,84,4,137,6,17,103,11,2,1,83,0,0,0,0,1,8,4,80,609,8,7,78,0,0,0,0,1,2,4,85,,,,,100,0,0,0,5,0,95,0,0,100,6,0,94,100,100,,,,,,,100,100,,,,,100,100,100,100,,,,,,,100,100,,,,,100,100,,,,,51767,63300,50712,46909,,,,103,43,0,0,2,0,17,3,6,0,0,32,8,0,20,4,0,12384,12384,12444,12444,,,,51036,51036,51036,25500,25500,25500,5,34,15,87,50,15,6,,,,,160,,,67,67,7337,67,4036,0,,50,6286,907163,67,11373,67,6660,67,677,50,6286,0,,67,8478,59,529721,5635,66,753589,7177,45493,29348,26640,2708,16145,0,18858,18858,0,4,67,,,,,,,,,4,4,,2,2,0,45493,11373,4,,2,2,0,45493,11373,2,24024,12012,2,21469,10735,0,0,,0,0,,0,0,,26048,4,2,2,0,0,0,-80.356315,25.794178,FL,71.59367946
132851,College of Central Florida,3001 SW College Rd,Ocala,FL,34474,1,1,1,2,30,1,2,2,2,2,13,1,A,-2,1,1,40,2,3,2,-2,,,,,,,,,,,,,6820,3016,3804,61,12,17,2,2,0,0,4,1,2,62,14,6820,1334,359,4018,1109,61,12,17,2,2,0,0,4,1,2,62,0,,,,,,,,,,,,15,53,31,0,97,1,0,1,16,33,51,16,33,51,,,,37,33,40,0,50,50,,23,33,39,,35,63,13,,,,,,,,,,,,,,,,,31,,37,,47,,53352,63878,55291,48805,44434,,49029,528,197,0,0,8,25,32,30,24,61,0,151,35,2,92,21,1,2570,2570,2570,2570,,,,12716,12716,20272,6974,6974,14530,947,1693,56,,,20,922,0,880,42,0,7151,,,81,61,4834,25,1895,25,1701,25,4565,28816698,80,4789,59,4957,2,1683,25,4507,0,11275,61,6603,46,12846534,3894,26,10603148,5625,3543786,2712150,2676807,35343,445403,386233,1068274,1045724,22550,740,80,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.175692,29.166079,FL,46.16949153
132879,Johnson University Florida,1011 Bill Beck Blvd,Kissimmee,FL,34744,2,1,1,1,20,1,2,2,2,2,21,1,A,-2,1,1,51,2,1,1,Johnson University,65,59,80,69,71,66,67,69,63,2,2,3,204,192,12,52,17,21,0,0,0,0,3,1,4,38,34,199,68,25,106,0,51,18,22,1,0,1,1,4,1,4,39,5,100,0,0,0,0,0,0,0,0,0,20,1,85,15,0,79,12,9,0,0,20,80,0,20,80,0,0,100,34,28,41,,100,100,,0,25,38,,0,,,18,30,32,28,36,,100,100,,0,25,34,,0,,,41,41,33,26,15,15,47728,51671,45641,41000,,,,46,16,0,0,2,5,3,4,0,5,0,11,6,0,5,0,0,14270,14270,14920,16060,26718,26718,26718,31220,31220,31220,20138,20138,20138,67,93,72,56,,10,56,,,,,181,,,100,70,4468,89,3703,82,1987,70,4694,1526342,100,8050,70,4299,14,826,70,4694,0,,96,8823,69,526912,4249,68,790157,6424,450788,174266,167655,6611,185129,91393,183058,183058,0,56,100,,,,,,,,,31,56,41,11,4,0,450788,8050,50,39,9,2,0,428338,8567,23,225423,9801,15,127565,8504,4,34170,8543,3,11775,3925,5,29405,5881,14340,50,23,15,4,3,5,-81.363053,28.302547,FL,24.77185017
132903,University of Central Florida,4000 Central Florida Blvd,Orlando,FL,32816,1,1,1,1,11,1,2,2,1,2,21,1,A,-2,1,1,16,2,5,1,State University System of Florida,43,42,43,41,45,37,40,44,37,1,1,1,68475,46575,21900,48,11,26,6,6,0,0,4,1,4,55,12,58821,7229,7883,43280,429,47,11,27,6,6,0,0,4,1,3,54,9654,50,10,17,6,6,0,0,2,2,12,58,0,82,17,0,92,7,0,0,15,42,43,12,47,41,32,14,54,73,68,77,71,77,78,64,70,72,73,70,75,68,15,44,67,73,68,77,71,77,78,64,70,72,73,70,75,68,15,70,70,68,68,75,75,94197,146273,99808,81253,60130,66011,,5839,1775,304,0,90,86,762,479,499,421,74,1349,362,18,749,202,18,6368,6368,6368,6368,22548,22548,38647,22548,22548,38647,12538,12538,28637,7062,15443,46,90,82,30,6678,0,6170,508,0,56853,,,90,33,5638,74,4613,42,3031,34,6359,242860332,81,8057,32,5366,7,1943,34,5414,3,11692,64,6638,39,102100884,4603,39,151277839,6812,43750122,12295638,11343684,951954,22855748,8598736,14587772,12272830,2314942,5921,89,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.200889,28.602159,FL,59.82840909
133021,Chipola College,3094 Indian Circle,Marianna,FL,32446-2053,1,1,1,2,30,1,2,2,2,2,32,1,A,-2,1,1,40,2,2,2,-2,,,,,,,,,,,,,2081,876,1205,72,15,4,1,1,0,1,3,2,1,61,18,2081,490,44,962,585,72,15,4,1,1,0,1,3,2,1,61,0,,,,,,,,,,,,26,57,18,0,90,8,1,0,11,36,54,11,36,54,,,,48,47,49,67,75,100,0,38,21,52,38,,,6,,,,,,,,,,,,,,,,,39,,,,59,,49635,57962,,50681,45365,,,242,99,0,0,1,11,27,1,4,12,2,85,31,0,53,0,1,3120,3120,3120,3120,11415,11415,17245,13656,13656,19486,8268,8268,14098,367,534,69,,,12,364,295,45,23,1,2092,,,85,51,5467,53,2620,16,3673,0,,5797617,72,6657,51,5340,19,414,0,,0,,53,5228,35,3000991,4128,0,0,,1737381,1022308,993326,28982,505728,209345,0,0,0,261,72,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85.23139,30.789228,FL,20.09593679
133386,Daytona State College,1200 W. International Speedway Blvd.,Daytona Beach,FL,32114,1,1,1,2,30,1,2,2,2,2,13,1,A,-2,1,1,40,2,4,2,-2,,,,,,,,,,,,,13737,5366,8371,62,13,17,2,2,0,0,4,2,0,61,9,13737,2052,862,8244,2579,62,13,17,2,2,0,0,4,2,0,61,0,,,,,,,,,,,,13,50,36,0,97,2,1,0,25,28,47,25,28,47,,,,37,33,41,0,48,52,0,23,39,41,18,38,36,14,,,,,,,,,,,,,,,,,33,,31,,50,,60914,66893,58027,52969,46178,,,1083,443,0,0,15,31,55,43,55,41,0,400,224,0,69,98,9,3282,3112,3109,3104,,,,13404,13404,22293,6628,6628,15517,1271,3068,41,,,18,1277,0,1166,111,0,13970,,,73,53,4494,24,1622,17,2842,24,4356,24287134,61,5337,53,4433,4,884,24,4351,0,5000,41,4194,36,17548366,3479,19,1425785,545,4173525,3047038,3005500,41538,501238,625249,1354607,1344607,10000,926,73,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.049685,29.203275,FL,54.9476082
133492,Eckerd College,4200 54th Ave S,Saint Petersburg,FL,33711-4700,2,1,1,2,30,1,2,2,2,2,11,1,A,-2,1,1,31,2,2,2,-2,68,62,70,18,18,18,18,18,18,0,0,0,2006,1940,66,77,3,8,3,2,0,0,4,1,4,66,29,2006,581,40,1366,19,77,3,8,3,2,0,0,4,1,4,66,0,,,,,,,,,,,,1,98,1,0,15,82,3,0,0,0,100,0,0,100,,,,68,65,70,50,60,67,0,59,58,70,61,100,67,,63,67,68,65,70,50,60,67,0,59,58,70,61,100,67,,57,57,69,69,72,72,71430,92013,74840,62528,,,48314,394,163,0,0,11,1,44,26,12,24,3,110,18,0,79,12,1,40020,41538,43044,44540,61576,61576,61576,61576,61576,61576,48920,48920,48920,580,636,91,82,0,12,558,,,,,2037,,,99,20,5292,20,5798,99,22370,56,8760,45525341,99,24590,20,4291,18,1123,55,5821,9,19592,92,24203,19,1697920,4399,51,7123987,6837,13573452,587434,476285,111149,637768,12348250,2733224,1792812,940412,555,99,,,,,,,,,27,552,545,7,0,0,13573452,24590,362,356,6,0,0,9567721,26430,38,1326032,34896,39,1194626,30631,68,1990959,29279,77,2014331,26160,140,3041773,21727,34461,359,38,39,68,77,137,-82.687043,27.715798,FL,42.57630979
133508,Florida SouthWestern State College,8099 College Parkway,Fort Myers,FL,33919,1,1,1,2,30,1,2,2,2,2,21,1,A,-2,1,1,40,2,4,2,-2,,,,,,,,,,,,,16556,6072,10484,44,12,32,2,2,0,0,2,6,2,63,12,16556,3174,601,8876,3905,44,12,32,2,2,0,0,2,6,2,63,0,,,,,,,,,,,,18,57,25,0,94,0,0,6,14,24,62,14,24,62,,,,32,28,35,13,39,35,60,27,33,33,28,22,40,15,,,,,,,,,,,,,,,,,30,,32,,35,,56512,,,,,,56512,793,321,0,0,8,122,41,60,41,57,26,117,34,0,82,1,0,3401,3401,3401,3401,16371,16371,25949,19613,19613,29191,9686,9686,19264,1989,3871,51,,,30,1781,0,1701,80,0,15731,,,73,58,5372,31,1720,18,3453,22,3278,14338543,65,6524,58,5270,6,924,22,3201,0,7500,39,2354,35,11031523,1976,17,6020269,2213,7574364,5549363,5444013,105350,947804,1077197,1284839,1254839,30000,1296,73,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.887102,26.552403,FL,56.5480226
133526,Edward Waters College,1658 Kings Rd,Jacksonville,FL,32209,2,1,1,2,30,1,1,2,2,2,11,1,A,-2,1,1,32,2,2,2,-2,56,55,56,16,24,12,16,24,12,0,0,0,2906,925,1981,19,60,8,3,3,0,0,6,3,0,51,10,2906,316,25,627,1938,19,60,8,3,3,0,0,6,3,0,51,0,,,,,,,,,,,,,,,,82,9,0,9,0,13,87,0,13,87,,,,20,13,35,,0,0,,21,0,25,20,0,,27,10,18,20,13,35,,0,0,,21,0,25,20,0,,27,22,22,10,10,,,46358,50916,53068,44845,42714,,,163,67,0,3,5,33,17,4,3,13,2,16,2,0,14,0,0,13525,13525,13525,13525,25083,25083,25083,26283,26283,26283,17801,17801,17801,298,341,87,54,50,23,254,,,,,3443,,,100,89,5276,82,4514,72,5949,75,5404,10416828,100,12728,88,4972,34,916,75,5404,0,,26,11561,22,3987865,5240,22,5080708,6857,3220070,1192474,1113682,78792,938854,1088742,1032254,1032254,0,253,100,,,,,,,,,7,253,207,12,33,1,3220070,12728,237,196,10,31,0,2966645,12517,162,2084062,12865,50,612004,12240,15,185625,12375,5,43751,8750,5,41203,8241,12165,237,162,50,15,5,5,-81.684879,30.34479,FL,37.93785311
133553,Embry-Riddle Aeronautical University-Daytona Beach,600 S Clyde Morris Blvd,Daytona Beach,FL,32114-3900,2,1,1,1,12,1,2,2,2,2,13,1,A,-2,1,1,21,2,3,1,Embry-Riddle Aeronautical University Inc.,65,65,68,36,35,38,36,35,38,0,0,0,6613,6133,480,53,5,13,5,5,0,0,3,3,17,23,24,5984,1418,248,4259,59,56,5,14,5,5,0,0,4,3,13,23,629,30,3,7,3,3,0,0,2,3,52,28,1,90,9,0,32,56,7,5,0,0,99,0,0,99,3,1,96,61,60,66,75,58,60,0,41,67,61,52,71,71,,32,54,61,60,66,75,58,60,0,41,66,62,51,70,71,,51,51,60,60,68,68,87099,114550,88241,73162,50105,,,1389,335,18,0,28,256,204,88,113,86,7,254,59,0,120,51,24,33218,33886,34722,35814,53250,53250,53250,53250,53250,53250,41812,41812,41812,1409,1690,83,82,0,17,1352,,,,,5729,,,97,28,5861,31,6140,96,15510,60,12561,141441665,96,19125,28,4897,8,3575,58,6251,15,25503,86,28661,27,7906677,5081,49,21615542,7717,24919765,2221339,1846006,375333,2597268,20101158,10211814,4881710,5330104,1305,97,,,,,,,,,24,1303,1262,32,0,9,24919765,19125,880,827,0,0,53,18947178,21531,202,5291047,26193,93,2355012,25323,147,3268021,22231,153,2942559,19232,285,5090539,17862,32329,877,202,92,146,152,285,-81.048367,29.189903,FL,50.40159272
133650,Florida Agricultural and Mechanical University,1500 S Martin Luther King Jr Blvd,Tallahassee,FL,32307,1,1,1,1,11,1,1,2,2,2,12,1,A,-2,1,1,21,1,4,1,State University System of Florida,39,36,40,39,42,38,38,40,37,1,2,1,10021,8580,1441,8,82,4,1,1,0,0,3,0,1,64,17,8137,1421,597,5693,426,6,85,4,1,1,0,0,4,0,1,65,1884,16,69,7,3,3,0,0,2,0,3,64,3,89,8,0,78,21,1,0,0,26,74,0,29,71,2,11,86,51,43,55,50,57,57,,51,41,44,63,,44,26,18,42,51,43,55,50,57,57,,51,41,44,63,,44,26,49,49,55,55,56,56,72885,100031,76603,66501,51215,,34548,1709,661,26,13,37,87,277,76,75,61,3,393,167,1,212,9,4,5785,5785,5785,5785,23207,23207,35147,23009,23009,34949,13313,13313,25253,1373,2347,59,81,45,16,1655,0,1394,261,0,8024,,,95,71,5679,40,3345,49,3986,75,6459,52294948,85,8532,71,5313,16,1625,74,6190,2,12714,74,8779,61,25973787,5304,64,34035887,6648,12055761,6633118,6205763,427355,2217911,3204732,7964416,7583003,381413,1544,93,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.290226,30.428504,FL,49.24492099
